PLAYER_NAME,team,GP,G_PERCENT,MIN,MPG,num_times_stolen_from_rookie,num_times_fouled_by_rookie,num_times_blocked_rookie,positive_events_against_rookies_total,num_times_stolen_by_rookie,num_times_fouled_rookie,num_times_blocked_by_rookie,negative_events_against_rookies_total,num_times_stolen_from_rookie_per_36,num_times_fouled_by_rookie_per_36,num_times_blocked_rookie_per_36,positive_events_against_rookies_total_per_36,num_times_stolen_by_rookie_per_36,num_times_fouled_rookie_per_36,num_times_blocked_by_rookie_per_36,negative_events_against_rookies_total_per_36,net_events_against_rookies_total_per_36
Svi Mykhailiuk,UTA,45,0.8035714285714286,1071.19166666667,23.804259259259332,0,0,1,1,1,1,2,4,0,0,0.03360743097640468,0.03360743097640468,0.03360743097640468,0.03360743097640468,0.06721486195280936,0.13442972390561872,-0.10082229292921405
Josh Okogie,HOU,52,0.9811320754716981,1021.14166666667,19.637339743589806,5,2,0,7,2,7,2,11,0.1762732888841732,0.07050931555366928,0,0.24678260443784247,0.07050931555366928,0.24678260443784247,0.07050931555366928,0.387801235545181,-0.1410186311073385
Michael Porter Jr.,BKN,41,0.7735849056603774,1353.01166666667,33.000284552845606,2,5,0,7,5,3,3,11,0.053214618745588416,0.13303654686397104,0,0.18625116560955945,0.13303654686397104,0.07982192811838262,0.07982192811838262,0.2926804031007363,-0.10642923749117683
Mitchell Robinson,NYK,39,0.7090909090909091,765.563333333333,19.629829059829053,3,5,10,18,1,4,0,5,0.14107258707095868,0.23512097845159782,0.47024195690319565,0.8464355224257522,0.04702419569031956,0.18809678276127825,0,0.23512097845159782,0.6113145439741543
Collin Sexton,CHI,45,0.8181818181818182,1029.97666666667,22.888370370370446,5,12,0,17,10,1,3,14,0.17476124054590175,0.4194269773101642,0,0.594188217856066,0.3495224810918035,0.03495224810918035,0.10485674432754105,0.4893314735285249,0.10485674432754111
Landry Shamet,NYK,30,0.5454545454545454,658.323333333333,21.944111111111102,1,1,1,3,2,3,2,7,0.05468437495253095,0.05468437495253095,0.05468437495253095,0.16405312485759282,0.1093687499050619,0.16405312485759282,0.1093687499050619,0.3827906246677167,-0.21873749981012386
Anfernee Simons,CHI,53,0.9636363636363636,1327.98333333333,25.056289308176037,3,9,1,13,8,9,3,20,0.0813263218664895,0.24397896559946847,0.0271087739554965,0.3524140614214545,0.216870191643972,0.24397896559946847,0.0813263218664895,0.54217547910993,-0.18976141768847554
Gary Trent Jr.,MIL,47,0.8867924528301887,1107.50333333333,23.563900709219787,3,3,1,7,0,2,0,2,0.09751663651877676,0.09751663651877676,0.03250554550625892,0.22753881854381247,0,0.06501109101251784,0,0.06501109101251784,0.16252772753129463
Jarred Vanderbilt,LAL,45,0.8333333333333334,866.801666666667,19.262259259259267,6,5,0,11,3,4,3,10,0.24919195279196887,0.20765996065997405,0,0.45685191345194287,0.12459597639598444,0.16612796852797923,0.12459597639598444,0.4153199213199481,0.041531992131994766
Moritz Wagner,ORL,13,0.24528301886792453,155.703333333333,11.977179487179463,1,2,0,3,2,1,0,3,0.23120892295176773,0.46241784590353546,0,0.6936267688553032,0.46241784590353546,0.23120892295176773,0,0.6936267688553032,0
P.J. Washington,DAL,39,0.7222222222222222,1196.6,30.68205128205128,0,4,12,16,10,7,1,18,0,0.12034096607053318,0.36102289821159955,0.48136386428213274,0.300852415176333,0.21059669062343306,0.030085241517633296,0.5415343473173994,-0.06017048303526662
Kenrich Williams,OKC,36,0.6428571428571429,581.246666666667,16.14574074074075,2,3,0,5,2,0,0,2,0.12387167811715041,0.18580751717572563,0,0.309679195292876,0.12387167811715041,0,0,0.12387167811715041,0.1858075171757256
Trae Young,WAS,10,0.18867924528301888,280.103333333333,28.0103333333333,0,2,0,2,3,0,1,4,0,0.2570479941926197,0,0.2570479941926197,0.38557199128892955,0,0.12852399709630985,0.5140959883852394,-0.2570479941926197
Deandre Ayton,LAL,46,0.8518518518518519,1298.94333333333,28.237898550724566,2,3,7,12,1,7,1,9,0.05542966975721306,0.08314450463581959,0.19400384415024569,0.33257801854327834,0.02771483487860653,0.19400384415024569,0.02771483487860653,0.24943351390745877,0.08314450463581957
Luka Dončić,LAL,42,0.7777777777777778,1492.05166666667,35.52503968253976,6,37,1,44,18,4,4,26,0.14476710480311752,0.8927304796192248,0.024127850800519587,1.061625435222862,0.43430131440935266,0.09651140320207835,0.09651140320207835,0.6273241208135093,0.4343013144093527
Goga Bitadze,ORL,42,0.7924528301886793,671.903333333333,15.997698412698403,3,5,4,12,3,1,0,4,0.16073740766280872,0.2678956794380145,0.21431654355041163,0.6429496306512349,0.16073740766280872,0.05357913588760291,0,0.21431654355041163,0.42863308710082326
Robert Williams III,POR,38,0.6785714285714286,619.88,16.312631578947368,1,1,7,9,3,2,1,6,0.05807575659805123,0.05807575659805123,0.40653029618635866,0.5226818093824611,0.1742272697941537,0.11615151319610247,0.05807575659805123,0.3484545395883074,0.1742272697941537
Rui Hachimura,LAL,44,0.8148148148148148,1313.70666666667,29.85696969696977,4,2,2,8,2,4,0,6,0.10961351088015563,0.05480675544007781,0.05480675544007781,0.21922702176031125,0.05480675544007781,0.10961351088015563,0,0.16442026632023343,0.05480675544007782
Jock Landale,ATL,49,0.875,1146.35,23.394897959183673,2,4,2,8,2,8,2,12,0.06280804291882934,0.12561608583765868,0.06280804291882934,0.25123217167531736,0.06280804291882934,0.25123217167531736,0.06280804291882934,0.376848257512976,-0.12561608583765865
Duncan Robinson,DET,51,0.9622641509433962,1436.86666666667,28.17385620915039,4,3,0,7,0,5,1,6,0.10021806709042802,0.07516355031782102,0,0.175381617408249,0,0.12527258386303503,0.025054516772607005,0.15032710063564203,0.025054516772606977
Jordan McLaughlin,SAS,25,0.46296296296296297,154.62,6.1848,2,2,0,4,1,1,0,2,0.46565774155995343,0.46565774155995343,0,0.9313154831199069,0.23282887077997672,0.23282887077997672,0,0.46565774155995343,0.46565774155995343
Gabe Vincent,ATL,30,0.5357142857142857,577.963333333333,19.265444444444434,3,0,0,3,1,3,0,4,0.18686306513100612,0,0,0.18686306513100612,0.062287688377002035,0.18686306513100612,0,0.24915075350800814,-0.06228768837700202
Drew Eubanks,SAC,32,0.5714285714285714,429.736666666667,13.429270833333344,0,1,2,3,0,1,0,1,0,0.0837722326075658,0.1675444652151316,0.2513166978226974,0,0.0837722326075658,0,0.0837722326075658,0.16754446521513158
Amir Coffey,PHX,32,0.5818181818181818,298.338333333333,9.323072916666657,0,1,1,2,0,3,0,3,0,0.12066836868655845,0.12066836868655845,0.2413367373731169,0,0.36200510605967534,0,0.36200510605967534,-0.12066836868655845
Terance Mann,BKN,46,0.8679245283018868,1162.64333333333,25.274855072463698,4,5,0,9,1,6,1,8,0.12385569664528853,0.15481962080661066,0,0.2786753174518992,0.030963924161322133,0.18578354496793278,0.030963924161322133,0.24771139329057706,0.030963924161322154
Andrew Nembhard,IND,43,0.7818181818181819,1380.88333333333,32.11356589147279,5,11,2,18,4,1,3,8,0.1303513451534649,0.28677295933762276,0.05214053806138595,0.4692648425524736,0.1042810761227719,0.026070269030692976,0.078210807092078935,0.2085621522455438,0.2607026903069298
Jalen Pickett,DEN,39,0.7090909090909091,688.413333333333,17.651623931623924,2,3,1,6,3,0,2,5,0.10458832871724356,0.15688249307586535,0.05229416435862178,0.3137649861517307,0.15688249307586535,0,0.10458832871724356,0.26147082179310893,0.052294164358621775
Zion Williamson,NOP,40,0.7142857142857143,1187.25333333333,29.68133333333325,2,9,0,11,4,6,0,10,0.060644175913031936,0.2728987916086437,0,0.33354296752167567,0.12128835182606387,0.1819325277390958,0,0.3032208795651597,0.030322087956515975
RJ Barrett,TOR,31,0.5636363636363636,914.308333333333,29.493817204301067,1,12,0,13,1,4,2,7,0.03937402590300502,0.4724883108360602,0,0.5118623367390652,0.03937402590300502,0.15749610361202007,0.07874805180601004,0.2756181813210351,0.23624415541803012
Ja Morant,MEM,20,0.37735849056603776,568.5,28.425,1,9,0,10,3,3,0,6,0.0633245382585752,0.5699208443271768,0,0.633245382585752,0.18997361477572558,0.18997361477572558,0,0.37994722955145116,0.25329815303430087
De'Andre Hunter,SAC,45,0.8035714285714286,1175.48666666667,26.121925925926003,1,3,1,5,2,2,2,6,0.030625613221190565,0.0918768396635717,0.030625613221190565,0.15312806610595284,0.06125122644238113,0.06125122644238113,0.06125122644238113,0.1837536793271434,-0.030625613221190562
Coby White,CHA,29,0.5272727272727272,843.426666666667,29.08367816091955,4,11,0,15,4,0,6,10,0.1707320928909053,0.46951325544998956,0,0.6402453483408949,0.1707320928909053,0,0.25609813933635794,0.42683023222726324,0.21341511611363162
Darius Garland,LAC,26,0.48148148148148145,791.968333333333,30.460320512820502,3,9,2,14,4,2,4,10,0.13636908883141377,0.40910726649424134,0.09091272588760918,0.6363890812132642,0.18182545177521836,0.09091272588760918,0.18182545177521836,0.4545636294380459,0.1818254517752183
Jaxson Hayes,LAL,45,0.8333333333333334,795.738333333333,17.683074074074067,1,4,4,9,2,6,1,9,0.04524100259088522,0.18096401036354087,0.18096401036354087,0.4071690233179669,0.09048200518177044,0.2714460155453113,0.04524100259088522,0.4071690233179669,0
Nickeil Alexander-Walker,ATL,54,0.9642857142857143,1795.105,33.24268518518519,9,9,5,23,6,6,7,19,0.18049083479796446,0.18049083479796446,0.10027268599886914,0.46125435559479805,0.12032722319864297,0.12032722319864297,0.14038176039841682,0.3810362067957027,0.08021814879909533
