name,personId,postseason_games,reg_season_games,tour_date_postseason,tour_date_reg_season,tot_games,tot_tour_date_games,tot_tour_date_percent,postseason_tour_date_percent,reg_season_tour_date_percent
Wendell Carter Jr.,1628976,6,66,0,8,72,8,0.1111111111111111,0,0.12121212121212122
Wendell Moore Jr.,1631111,0,35,0,1,35,1,0.02857142857142857,NA,0.02857142857142857
Xavier Tillman,1630214,1,33,0,0,34,0,0,0,0
Yuki Kawamura,1642530,0,22,0,0,22,0,0,NA,0
Yuri Collins,1641879,0,2,0,0,2,0,0,NA,0
Yves Missi,1642274,0,72,0,0,72,0,0,NA,0
Zaccharie Risacher,1642258,2,75,2,14,77,16,0.2077922077922078,1,0.18666666666666668
Zach Collins,1628380,1,64,0,0,65,0,0,0,0
Zach Edey,1641744,6,65,1,2,71,3,0.04225352112676056,0.16666666666666666,0.03076923076923077
Zach LaVine,203897,1,74,0,10,75,10,0.13333333333333333,0,0.13513513513513514
Zeke Nnaji,1630192,6,57,0,0,63,0,0,0,0
Ziaire Williams,1630533,0,63,0,10,63,10,0.15873015873015872,NA,0.15873015873015872
Zion Williamson,1629627,0,30,0,6,30,6,0.2,NA,0.2
Zyon Pullin,1642389,0,3,0,0,3,0,0,NA,0
ga Bitadze,1629048,4,68,0,0,72,0,0,0,0
