name,personId,postseason_games,reg_season_games,tour_date_postseason,tour_date_reg_season,tot_games,tot_tour_date_games,tot_tour_date_percent,postseason_tour_date_percent,reg_season_tour_date_percent
Alex Caruso,1627936,59,418,2,25,477,27,0.05660377358490566,0.03389830508474576,0.05980861244019139
Alex Ducas,1642505,0,21,0,0,21,0,0,NA,0
Alex English,76673,68,1193,14,190,1261,204,0.16177636796193498,0.20588235294117646,0.15926236378876782
Alex Fudge,1641788,0,6,0,0,6,0,0,NA,0
Alex Garcia,2682,0,10,0,1,10,1,0.1,NA,0.1
Alex Hannum,76937,43,391,3,9,434,12,0.027649769585253458,0.06976744186046512,0.023017902813299233
Alex Kirk,203945,0,5,0,0,5,0,0,NA,0
Alex Len,203458,18,689,0,26,707,26,0.036775106082036775,0,0.03773584905660377
Alex Poythress,1627816,0,52,0,1,52,1,0.019230769230769232,NA,0.019230769230769232
Alex Reese,1642024,0,15,0,0,15,0,0,NA,0
Alex Sarr,1642259,0,66,0,27,66,27,0.4090909090909091,NA,0.4090909090909091
Alex Scales,2637,0,1,0,0,1,0,0,NA,0
Alex Stepheson,1627293,0,8,0,1,8,1,0.125,NA,0.125
Alex Stivrins,78261,0,22,0,0,22,0,0,NA,0
Alexander Ellis,76658,16,118,0,4,134,4,0.029850746268656716,0,0.03389830508474576
Alexander Johnson,200792,0,102,0,1,102,1,0.00980392156862745,NA,0.00980392156862745
Alexander Rosenberg,78017,2,9,0,0,11,0,0,0,0
Alexander Volkov,78421,0,149,0,10,149,10,0.06711409395973154,NA,0.06711409395973154
Alexey Shved,203144,0,182,0,25,182,25,0.13736263736263737,NA,0.13736263736263737
Alexis Ajinca,201582,3,293,0,5,296,5,0.016891891891891893,0,0.017064846416382253
Alfonzo McKinnie,1628035,24,182,0,4,206,4,0.019417475728155338,0,0.02197802197802198
Alfredrick Hughes,77076,3,68,0,8,71,8,0.11267605633802817,0,0.11764705882352941
Alize Johnson,1628993,6,76,0,0,82,0,0,0,0
Allan Bristow,76257,20,648,0,39,668,39,0.058383233532934134,0,0.06018518518518518
Allan Houston,275,63,839,18,251,902,269,0.2982261640798226,0.2857142857142857,0.29916567342073896
Allan Ray,200810,0,47,0,3,47,3,0.06382978723404255,NA,0.06382978723404255
Allen Crabbe,203459,17,381,2,42,398,44,0.11055276381909548,0.11764705882352941,0.11023622047244094
